bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,content
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,0439785960,9780439785969,eng,652,2095690,27591,9/16/2006,Scholastic Inc.,Harry Potter and the Half-Blood Prince (Harry Potter  #6) J.K. Rowling/Mary GrandPré Scholastic Inc. eng
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,0439358078,9780439358071,eng,870,2153167,29221,9/1/2004,Scholastic Inc.,Harry Potter and the Order of the Phoenix (Harry Potter  #5) J.K. Rowling/Mary GrandPré Scholastic Inc. eng
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,0439554896,9780439554893,eng,352,6333,244,11/1/2003,Scholastic,Harry Potter and the Chamber of Secrets (Harry Potter  #2) J.K. Rowling Scholastic eng
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,043965548X,9780439655484,eng,435,2339585,36325,5/1/2004,Scholastic Inc.,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3) J.K. Rowling/Mary GrandPré Scholastic Inc. eng
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,0439682584,9780439682589,eng,2690,41428,164,9/13/2004,Scholastic,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5) J.K. Rowling/Mary GrandPré Scholastic eng
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,0976540606,9780976540601,eng,152,19,1,4/26/2005,Nimble Books,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation W. Frederick Zimmerman Nimble Books eng"
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,0439827604,9780439827607,eng,3342,28242,808,9/12/2005,Scholastic,Harry Potter Collection (Harry Potter  #1-6) J.K. Rowling Scholastic eng
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517226952,9780517226957,eng,815,3628,254,11/1/2005,Gramercy Books,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5) Douglas Adams Gramercy Books eng
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0345453743,9780345453747,eng,815,249558,4080,4/30/2002,Del Rey Books,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5) Douglas Adams Del Rey Books eng
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9781400052929,eng,215,4930,460,8/3/2004,Crown,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1) Douglas Adams Crown eng
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,0739322206,9780739322208,eng,6,1266,253,3/23/2005,Random House Audio,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1) Douglas Adams/Stephen Fry Random House Audio eng
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517149257,9780517149256,eng,815,2877,195,1/17/1996,Wings Books,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5) Douglas Adams Wings Books eng
21,A Short History of Nearly Everything,Bill Bryson,4.21,076790818X,9780767908184,eng,544,248558,9396,9/14/2004,Broadway Books,A Short History of Nearly Everything Bill Bryson Broadway Books eng
22,Bill Bryson's African Diary,Bill Bryson,3.44,0767915062,9780767915069,eng,55,7270,499,12/3/2002,Broadway Books,Bill Bryson's African Diary Bill Bryson Broadway Books eng
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,0767910435,9780767910439,eng,256,2088,131,9/14/2004,Broadway Books,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right Bill Bryson Broadway Books eng
24,In a Sunburned Country,Bill Bryson,4.07,0767903862,9780767903868,eng,335,72451,4245,5/15/2001,Broadway Books,In a Sunburned Country Bill Bryson Broadway Books eng
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,9780767903820,eng,304,49240,2211,6/28/2000,Broadway Books,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away Bill Bryson Broadway Books eng
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,0060920084,9780060920081,eng,299,45712,2257,8/28/1990,William Morrow Paperbacks,The Lost Continent: Travels in Small Town America Bill Bryson William Morrow Paperbacks eng
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,0380713802,9780380713806,eng,254,48701,2238,3/28/1993,William Morrow Paperbacks,Neither Here nor There: Travels in Europe Bill Bryson William Morrow Paperbacks eng
28,Notes from a Small Island,Bill Bryson,3.91,0380727501,9780380727506,eng,324,80609,3301,5/28/1997,William Morrow Paperbacks,Notes from a Small Island Bill Bryson William Morrow Paperbacks eng
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,0380715430,9780380715435,eng,270,28489,2085,9/28/1991,William Morrow Paperbacks,The Mother Tongue: English and How It Got That Way Bill Bryson William Morrow Paperbacks eng
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,0345538374,9780345538376,eng,1728,101233,1550,9/25/2012,Ballantine Books,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings J.R.R. Tolkien Ballantine Books eng
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,0618517650,9780618517657,eng,1184,1710,91,10/21/2004,Houghton Mifflin Harcourt,The Lord of the Rings (The Lord of the Rings  #1-3) J.R.R. Tolkien Houghton Mifflin Harcourt eng
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,0618346252,9780618346257,eng,398,2128944,13670,9/5/2003,Houghton Mifflin Harcourt,The Fellowship of the Ring (The Lord of the Rings  #1) J.R.R. Tolkien Houghton Mifflin Harcourt eng
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,0618260587,9780618260584,eng,1216,1618,140,10/1/2002,Houghton Mifflin Harcourt,The Lord of the Rings (The Lord of the Rings  #1-3) J.R.R. Tolkien/Alan  Lee Houghton Mifflin Harcourt eng
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,0618391002,9780618391004,eng,218,19822,46,11/5/2003,Houghton Mifflin Harcourt,The Lord of the Rings: Weapons and Warfare Chris   Smith/Christopher  Lee/Richard Taylor Houghton Mifflin Harcourt eng
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,0618510826,9780618510825,eng,224,359,6,11/15/2004,Houghton Mifflin Harcourt,The Lord of the Rings: Complete Visual Companion Jude Fisher Houghton Mifflin Harcourt eng
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,097669400X,9780976694007,eng,558,1430,59,7/28/2005,Pragmatic Bookshelf,Agile Web Development with Rails: A Pragmatic Guide Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz Pragmatic Bookshelf eng
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,0689840926,9780689840920,eng,208,270244,12017,4/1/2000,Atheneum Books for Young Readers: Richard Jackson Books,Hatchet (Brian's Saga  #1) Gary Paulsen Atheneum Books for Young Readers: Richard Jackson Books eng
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.0,1557344493,9781557344496,eng,48,36,2,8/28/1994,Teacher Created Resources,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom Donna Ickes/Edward Sciranko/Keith Vasconcelles Teacher Created Resources eng"
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,0385326505,9780385326506,eng,144,2067,334,1/23/2001,Delacorte Press,Guts: The True Stories behind Hatchet and the Brian Books Gary Paulsen Delacorte Press eng
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,9781575606248,eng,56,6,0,6/10/2003,Cherry Lane Music Company,Molly Hatchet - 5 of the Best Molly Hatchet Cherry Lane Music Company eng
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,1595580271,9781595580276,eng,228,99,16,11/1/2005,The New Press,Hatchet Jobs: Writings on Contemporary Fiction Dale Peck The New Press eng
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,1595962808,9781595962805,eng,304,167,4,11/1/2005,Changeling Press,A Changeling for All Seasons (Changeling Seasons #1) Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati Changeling Press eng
58,Changeling (Changeling  #1),Delia Sherman,3.6,0670059676,9780670059676,eng,256,978,111,8/17/2006,Viking Juvenile,Changeling (Changeling  #1) Delia Sherman Viking Juvenile eng
59,The Changeling Sea,Patricia A. McKillip,4.06,0141312629,9780141312620,eng,137,4454,302,4/14/2003,Firebird,The Changeling Sea Patricia A. McKillip Firebird eng
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,0449146979,9780449146972,eng,369,345,12,8/28/1990,Ivy Books,The Changeling (Daughters of England  #15) Philippa Carr Ivy Books eng
68,The Known World,Edward P. Jones/Kevin R. Free,3.83,006076273X,9780060762735,eng,14,55,12,6/15/2004,HarperAudio,The Known World Edward P. Jones/Kevin R. Free HarperAudio eng
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,0273704745,9780273704744,eng,334,1456,82,5/15/2006,FT Press,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives Satyajit Das FT Press eng
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,9781932386103,eng,352,52,4,12/14/2005,Archaia,Artesia: Adventures in the Known World Mark Smylie Archaia eng
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,0374517193,9780374517199,eng,416,562,37,6/1/1982,Farrar  Straus and Giroux,The John McPhee Reader (John McPhee Reader  #1) John McPhee/William Howarth Farrar  Straus and Giroux eng
75,Uncommon Carriers,John McPhee,3.95,0374280398,9780374280390,eng,248,1630,203,5/16/2006,Farrar Straus Giroux,Uncommon Carriers John McPhee Farrar Straus Giroux eng
76,Heirs of General Practice,John McPhee,4.17,0374519749,9780374519742,eng,128,268,22,4/1/1986,Farrar  Straus and Giroux,Heirs of General Practice John McPhee Farrar  Straus and Giroux eng
77,The Control of Nature,John McPhee,4.24,0374522596,9780374522599,eng,288,3498,305,9/1/1990,Farrar  Straus and Giroux,The Control of Nature John McPhee Farrar  Straus and Giroux eng
78,Annals of the Former World,John McPhee,4.34,0374518734,9780374518738,eng,720,3115,228,1/6/1999,Farrar  Straus and Giroux,Annals of the Former World John McPhee Farrar  Straus and Giroux eng
79,Coming Into the Country,John McPhee,4.22,0374522871,9780374522872,eng,448,5704,261,4/1/1991,Farrar  Straus and Giroux,Coming Into the Country John McPhee Farrar  Straus and Giroux eng
81,Giving Good Weight,John McPhee,4.23,0374516006,9780374516000,eng,288,542,36,4/1/1994,Farrar  Straus and Giroux,Giving Good Weight John McPhee Farrar  Straus and Giroux eng
83,Rising from the Plains,John McPhee,4.23,0374520658,9780374520656,eng,208,1341,98,11/1/1987,Farrar  Straus and Giroux,Rising from the Plains John McPhee Farrar  Straus and Giroux eng
85,The Heidi Chronicles,Wendy Wasserstein,3.75,0822205106,9780822205104,eng,81,1423,70,3/1/2002,Dramatists Play Service,The Heidi Chronicles Wendy Wasserstein Dramatists Play Service eng
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,0679734996,9780679734994,eng,249,2766,64,7/2/1991,Vintage,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic Wendy Wasserstein Vintage eng
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,9781596670235,eng,138,31,1,3/29/2006,Routledge,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening Heidi Hayes Jacobs Routledge eng
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,1581807740,9781581807745,eng,128,62,4,3/14/2006,North Light Books,Simply Beautiful Beaded Jewelry Heidi Boyd North Light Books eng
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,0800793617,9780800793616,eng,192,860,53,9/1/2003,Chosen Books,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth Heidi Baker/Rolland Baker Chosen Books eng
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,0871202867,9780871202864,eng,108,77,2,1/28/1997,Association for Supervision & Curriculum Development,Mapping the Big Picture: Integrating Curriculum & Assessment K-12 Heidi Hayes Jacobs Association for Supervision & Curriculum Development eng
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,0753454947,9780753454947,eng,352,153317,2257,11/15/2002,Kingfisher,Heidi (Heidi  #1-2) Johanna Spyri/Beverly Cleary/Angelo  Rinaldi Kingfisher eng
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,0871209993,9780871209993,eng,192,55,5,11/15/2004,ASCD,Getting Results with Curriculum Mapping Heidi Hayes Jacobs ASCD eng
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,1852402873,9781852402877,eng,192,34,6,4/28/2003,Sovereign World,There's Always Enough: The Miraculous Move of God in Mozambique Rolland Baker/Heidi Baker Sovereign World eng
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,0761129588,9780761129585,eng,832,11797,659,10/16/2003,Workman Publishing Company,What to Expect the First Year (What to Expect) Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome Workman Publishing Company eng
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,0972016414,9780972016414,eng,123,34,8,5/10/2004,One Hour Entertainment,The Player's Handbook: The Ultimate Guide on Dating and Relationships Heidi Fleiss/Libby Keatinge One Hour Entertainment eng
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,1581805632,9781581805635,eng,128,78,4,8/19/2004,North Light Books,Simply Beautiful Beading: 53 Quick and Easy Projects Heidi Boyd North Light Books eng
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,0441294677,9780441294671,eng,423,2785,166,6/15/1987,Ace Books,God Emperor of Dune (Dune Chronicles  #4) Frank Herbert Ace Books eng
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,0441102670,9780441102679,eng,436,38778,568,7/1/1987,Ace Books,Chapterhouse: Dune (Dune Chronicles #6) Frank Herbert Ace Books eng
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,0441172695,9780441172696,eng,331,97494,2359,7/15/1987,Ace Books,Dune Messiah (Dune Chronicles #2) Frank Herbert Ace Books eng
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,0765306476,9780765306470,eng,592,784,21,7/1/2004,Tor Books,Dreamer of Dune: The Biography of Frank Herbert Brian Herbert Tor Books eng
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,0399128980,9780399128981,eng,480,272,20,4/16/1984,Putnam,Heretics of Dune (Dune Chronicles  #5) Frank Herbert Putnam eng
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,0765353709,9780765353702,eng,426,4789,83,8/29/2006,Tor Science Fiction,The Road to Dune Frank Herbert/Brian Herbert/Kevin J. Anderson Tor Science Fiction eng
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,0441328008,9780441328000,eng,471,45388,644,8/15/1987,Ace Books,Heretics of Dune (Dune Chronicles #5) Frank Herbert Ace Books eng
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,0618212906,9780618212903,eng,192,26153,102,6/12/2002,Houghton Mifflin Harcourt,The Lord of the Rings: The Art of the Fellowship of the Ring Gary Russell Houghton Mifflin Harcourt eng
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,9780345410054,eng,544,69167,4551,9/29/1996,Ballantine Books,The Power of One (The Power of One  #1) Bryce Courtenay Ballantine Books eng
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,0385732546,9780385732543,eng,291,45,13,9/13/2005,Delacorte Books for Young Readers,The Power of One (The Power of One  #1) Bryce Courtenay Delacorte Books for Young Readers eng
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,0785260056,9780785260059,eng,256,16,1,11/1/2004,Thomas Nelson,The Power of One: One Person  One Rule  One Month John C. Maxwell/Stephen R. Graves/Thomas G. Addington Thomas Nelson eng
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,0471780936,9780471780939,eng,205,174,16,5/19/2006,Wiley,Power of an Hour: Business and Life Mastery in One Hour a Week Dave Lakhani Wiley eng
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,0325001537,9780325001531,eng,240,10,0,2/7/2000,Heinemann Drama,The Power of One: The Solo Play for Playwrights  Actors  and Directors Louis E. Catron Heinemann Drama eng
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,006076287X,9780060762872,eng,336,76,9,5/3/2005,William Morrow Paperbacks,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days Adam Ginsberg William Morrow Paperbacks eng
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,0072262788,9780072262780,eng,260,24,0,1/24/2006,McGraw-Hill,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond Chris Malta/Lisa Suttora McGraw-Hill eng
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,0764569244,9780764569241,eng,384,55,4,9/17/2004,Wiley,Starting an eBay Business for Dummies Marsha Collier Wiley eng
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,0471933821,9780471933823,eng,260,9,0,6/6/2006,Wiley,eBay: Top 100 Simplified Tips & Tricks Julia Wilkinson Wiley eng
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,0764559915,9780764559914,eng,391,22,1,5/31/2004,Wiley,ebay Timesaving Techniques for Dummies Marsha Collier Wiley eng
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,0764584383,9780764584381,eng,864,17,3,4/25/2005,Wiley,eBay Business All-in-One Desk Reference for Dummies Marsha Collier Wiley eng
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,0596523696,9780596523695,eng,873,166,4,7/29/2006,O'Reilly Media,Ruby Cookbook Lucas Carlson/Leonard Richardson O'Reilly Media eng
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,0806523492,9780806523491,eng,240,50,5,5/3/2005,Citadel,Ruby Ann's Down Home Trailer Park Cookbook Ruby Ann Boxcar Citadel eng
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,0806525363,9780806525365,eng,206,13,2,5/3/2005,Citadel,Ruby Ann's Down Home Trailer Park BBQin' Cookbook Ruby Ann Boxcar Citadel eng
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,0596527314,9780596527310,eng,514,64,1,1/1/2007,O'Reilly Media,Rails Cookbook: Recipes for Rapid Web Development with Ruby Rob Orsini O'Reilly Media eng
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,0143035002,9780143035008,eng,838,16643,1851,5/31/2004,Penguin Classics,Anna Karenina Leo Tolstoy/Richard Pevear/Larissa Volokhonsky Penguin Classics eng
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,0451528611,9780451528612,eng,960,109420,5696,11/5/2002,Signet,Anna Karenina Leo Tolstoy/David Magarshack/Priscilla Meyer Signet eng
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,0140449175,9780140449174,eng,837,2904,309,1/30/2003,Penguin Books,Anna Karenina Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley Penguin Books eng
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,0822001837,9780822001836,eng,80,16,3,11/26/1965,Cliffs Notes,CliffsNotes on Tolstoy's Anna Karenina Marianne Sturman/Leo Tolstoy Cliffs Notes eng
